,h.1,h.2,h.3,ngtv_h.1,ngtv_h.2,ngtv_h.3,sqrt_h.1,sqrt_h.2,sqrt_h.3,sqrt_ngtv_h.1,sqrt_ngtv_h.2,sqrt_ngtv_h.3
1999-01-08,0.21842091918307607,0.20076839694340878,0.19194213582357514,-0.21842091918307607,-0.20076839694340878,-0.19194213582357514,0.46735523874572765,0.4480718658244554,0.43811201287293544,-0.46735523874572765,-0.4480718658244554,-0.43811201287293544
1999-01-11,1.6359998918326901,1.7474800774164638,1.8589602630002373,-1.6359998918326901,-1.7474800774164638,-1.8589602630002373,1.2790621141417216,1.3219228712056024,1.3634369303346001,-1.2790621141417216,-1.3219228712056024,-1.3634369303346001
1999-01-12,0.8940680007156218,0.8942751969706182,0.8943791147006015,-0.8940680007156218,-0.8942751969706182,-0.8943791147006015,0.9455516911917728,0.9456612485296297,0.9457161914129426,-0.9455516911917728,-0.9456612485296297,-0.9457161914129426
1999-01-13,1.2892327473023537,1.3000223305969671,1.3108119138915806,-1.2892327473023537,-1.3000223305969671,-1.3108119138915806,1.135443854755643,1.1401852176716585,1.144906945516351,-1.135443854755643,-1.1401852176716585,-1.144906945516351
1999-01-14,1.8792662695589648,1.879283606528982,1.8792921703641219,-1.8792662695589648,-1.879283606528982,-1.8792921703641219,1.3708633300073954,1.3708696533693427,1.3708727768703126,-1.3708633300073954,-1.3708696533693427,-1.3708727768703126
1999-01-15,1.2050368311109465,1.1630637105506036,1.1225525731417525,-1.2050368311109465,-1.1630637105506036,-1.1225525731417525,1.097741695988153,1.07845431546756,1.0595058155299348,-1.097741695988153,-1.07845431546756,-1.0595058155299348
1999-01-19,1.285647668511233,1.2498801268476822,1.216855832186011,-1.285647668511233,-1.2498801268476822,-1.216855832186011,1.1338640432217757,1.1179803785611275,1.1031118856154216,-1.1338640432217757,-1.1179803785611275,-1.1031118856154216
1999-01-20,3.118680475344012,3.1931423884455907,3.2676043015471694,-3.118680475344012,-3.1931423884455907,-3.2676043015471694,1.7659786168988605,1.7869365932918804,1.8076515984965602,-1.7659786168988605,-1.7869365932918804,-1.8076515984965602
1999-01-21,2.5896771362114794,2.6292507023835388,2.6688242685555976,-2.5896771362114794,-2.6292507023835388,-2.6688242685555976,1.6092473819184792,1.6214964392139561,1.6336536562428394,-1.6092473819184792,-1.6214964392139561,-1.6336536562428394
1999-01-22,2.0291811432058924,2.030699454295038,2.0319895139135515,-2.0291811432058924,-2.030699454295038,-2.0319895139135515,1.4244932934927748,1.425026124074586,1.4254786964081756,-1.4244932934927748,-1.425026124074586,-1.4254786964081756
1999-01-25,2.0743713872152636,2.0743717052341255,2.0743718618663887,-2.0743713872152636,-2.0743717052341255,-2.0743718618663887,1.4402678178780721,1.4402679282807507,1.4402679826568348,-1.4402678178780721,-1.4402679282807507,-1.4402679826568348
1999-01-26,1.9349444620636413,1.9349341873567716,1.9349278285587777,-1.9349444620636413,-1.9349341873567716,-1.9349278285587777,1.391022811482127,1.3910191182571041,1.3910168325936165,-1.391022811482127,-1.3910191182571041,-1.3910168325936165
1999-01-27,1.6040350244960957,1.5874051893414447,1.5709477642173288,-1.6040350244960957,-1.5874051893414447,-1.5709477642173288,1.2665050432177898,1.2599226918114637,1.2533745506500955,-1.2665050432177898,-1.2599226918114637,-1.2533745506500955
1999-01-28,1.8619106252683484,1.8619105795092346,1.8619105572626578,-1.8619106252683484,-1.8619105795092346,-1.8619105572626578,1.3645184591160167,1.3645184423485213,1.364518434196716,-1.3645184591160167,-1.3645184423485213,-1.364518434196716
1999-01-29,1.4902759279679978,1.4728523303863021,1.4556324652013923,-1.4902759279679978,-1.4728523303863021,-1.4556324652013923,1.2207685808407742,1.2136112764745977,1.2064959449585366,-1.2207685808407742,-1.2136112764745977,-1.2064959449585366
1999-02-01,1.8497497017827436,1.849749691035405,1.8497496857624662,-1.8497497017827436,-1.849749691035405,-1.8497496857624662,1.3600550363065251,1.3600550323554577,1.3600550304169556,-1.3600550363065251,-1.3600550323554577,-1.3600550304169556
1999-02-02,1.7951661426766758,1.7951661338022225,1.795166129442043,-1.7951661426766758,-1.7951661338022225,-1.795166129442043,1.3398381031589883,1.339838099847225,1.3398380982200957,-1.3398381031589883,-1.339838099847225,-1.3398380982200957
1999-02-03,1.3877736477242912,1.3710613558759448,1.3545503223440658,-1.3877736477242912,-1.3710613558759448,-1.3545503223440658,1.1780380502022383,1.170923292054584,1.163851503562231,-1.1780380502022383,-1.170923292054584,-1.163851503562231
1999-02-04,1.3201280873564214,1.3025628924050578,1.28523141445038,-1.3201280873564214,-1.3025628924050578,-1.28523141445038,1.1489682708223155,1.1412987743816507,1.1336804728186773,-1.1489682708223155,-1.1412987743816507,-1.1336804728186773
1999-02-05,1.1749914830537511,1.1553627657618015,1.1360619545603983,-1.1749914830537511,-1.1553627657618015,-1.1360619545603983,1.083970240852465,1.0748780236667794,1.065862071076928,-1.083970240852465,-1.0748780236667794,-1.065862071076928
1999-02-08,1.5057404620857984,1.49439708448371,1.48313916145767,-1.5057404620857984,-1.49439708448371,-1.48313916145767,1.2270861673435156,1.2224553507117182,1.2178420100561773,-1.2270861673435156,-1.2224553507117182,-1.2178420100561773
1999-02-09,1.3663910954278757,1.3519057322699006,1.3375739312886774,-1.3663910954278757,-1.3519057322699006,-1.3375739312886774,1.1689273268376763,1.1627148112370034,1.1565353134637426,-1.1689273268376763,-1.1627148112370034,-1.1565353134637426
1999-02-10,1.19990922474267,1.1827909645921046,1.1659169188393812,-1.19990922474267,-1.1827909645921046,-1.1659169188393812,1.0954036811799885,1.0875619359797881,1.0797763281529102,-1.0954036811799885,-1.0875619359797881,-1.0797763281529102
