Date,returns,rolling_mean,realised_volatility,ngtv_realised_volatility
1999-01-05,1.3581999288305502,1.3581999288305502,0.0,-0.0
1999-01-06,2.214040742776091,1.7861203358033206,0.42792040697277045,-0.42792040697277045
1999-01-07,-0.2051327530176783,1.122369306196321,1.3275020592139992,-1.3275020592139992
1999-01-08,0.4221358938063302,0.9473109530988233,0.5251750592924931,-0.5251750592924931
1999-01-11,-0.8791505932060684,0.582018643837845,1.4611692370439133,-1.4611692370439133
1999-01-12,-1.9281889818329678,0.16365070622604283,2.091839688059011,-2.091839688059011
1999-01-13,-0.41225855045736726,0.08137795527126997,0.4936365057286372,-0.4936365057286372
1999-01-14,-1.7992613875710606,-0.15370196258402136,1.6455594249870393,-1.6455594249870393
1999-01-15,2.563135359328972,0.14816885096186677,2.414966508367105,-2.414966508367105
1999-01-19,0.7029897149189335,0.20365093735757345,0.49933877756136,-0.49933877756136
1999-01-20,0.3690091853035149,0.21868350535265904,0.15032567995085586,-0.15032567995085586
1999-01-21,-1.70775262890831,0.058147160830911614,1.7658997897392217,-1.7658997897392217
1999-01-22,-0.8071903822626347,-0.008417265560899646,0.7987731167017351,-0.7987731167017351
1999-01-25,0.7174429617684774,0.04342989353405586,0.6740130682344215,-0.6740130682344215
1999-01-26,1.4854437913976337,0.13956415339162773,1.345879638006006,-1.345879638006006
1999-01-27,-0.7298523983188643,0.08522561890972197,0.8150780172285863,-0.8150780172285863
1999-01-28,1.7857533735746944,0.18525666330177917,1.6004967102729153,-1.6004967102729153
1999-01-29,1.1277349752552013,0.23761656952141375,0.8901184057337875,-0.8901184057337875
1999-02-01,-0.5188971056051206,0.19780006030422773,0.7166971659093483,-0.7166971659093483
1999-02-02,-0.8648868813825539,0.14466571321988864,1.0095525946024426,-1.0095525946024426
1999-02-03,0.7987350200773013,0.17581187068928925,0.6229231493880121,-0.6229231493880121
1999-02-04,-1.8536681944374855,0.08356277681989038,1.9372309712573759,-1.9372309712573759
1999-02-05,-0.7280768026021622,0.048274099453714185,0.7763509020558764,-0.7763509020558764
1999-02-08,0.35258963332083226,0.060953913364844105,0.29163571995598814,-0.29163571995598814
1999-02-09,-2.221472181810591,-0.030343130442173294,2.1911290513684176,-2.1911290513684176
1999-02-10,0.6093076379860785,-0.005741177810317457,0.6150488157963959,-0.6150488157963959
1999-02-11,2.4919283052556196,0.08676509934027281,2.405163205915347,-2.405163205915347
1999-02-12,-1.906640398744075,0.015572045837260382,1.9222124445813353,-1.9222124445813353
1999-02-16,0.9543698594686401,0.04794438423834244,0.9064254752302976,-0.9064254752302976
1999-02-17,-1.4365405454537905,-0.0015384467513953244,1.4350020987023953,-1.4350020987023953
1999-02-18,1.0824897826097413,0.03343020580864134,1.0490595768011,-1.0490595768011
1999-02-19,0.1567908601553869,0.03728522625697714,0.11950563389840976,-0.11950563389840976
1999-02-22,2.656513352785539,0.11665577554572143,2.5398575772398173,-2.5398575772398173
1999-02-23,-0.07546032580384443,0.11100530197661655,0.186465627780461,-0.186465627780461
1999-02-24,-1.3979152633872172,0.06789328582336417,1.4658085492105812,-1.4658085492105812
1999-02-25,-0.6693750466656989,0.04741360992089019,0.7167886565865891,-0.7167886565865891
1999-02-26,-0.5373458974579304,0.0316092989106518,0.5689551963685822,-0.5689551963685822
1999-03-01,-0.1752297107476264,0.026166167077539212,0.2013958778251656,-0.2013958778251656
1999-03-02,-0.862350642861831,0.003383684771401513,0.8657343276332325,-0.8657343276332325
1999-03-03,0.1795145654834851,0.007786956789203603,0.1717276086942815,-0.1717276086942815
1999-03-04,1.542727437968261,0.04522452950088793,1.497502908467373,-1.497502908467373
1999-03-05,2.3126127553349862,0.09920996344931884,2.2134027918856676,-2.2134027918856676
1999-03-08,0.5692026598092426,0.11014002615536357,0.459062633653879,-0.459062633653879
1999-03-09,-0.22530182073081662,0.1025163478170413,0.32781816854785795,-0.32781816854785795
1999-03-10,0.5469433824509817,0.11239250414223997,0.43455087830874173,-0.43455087830874173
1999-03-11,0.8423804269691137,0.1282618068123894,0.7141186201567243,-0.7141186201567243
1999-03-12,-0.2381240268334972,0.12046636354332799,0.35859039037682516,-0.35859039037682516
1999-03-15,0.9786916578032434,0.1383460571737429,0.8403456006295005,-0.8403456006295005
1999-03-16,-0.06731675361200118,0.13414885695362566,0.20146561056562684,-0.20146561056562684
1999-03-17,-0.6552503075091032,0.11836087366437109,0.7736111811734743,-0.7736111811734743
1999-03-18,1.4431973447262658,0.14433805937146707,1.2988592853547987,-1.2988592853547987
1999-03-19,-1.3110029514722954,0.11635073223985624,1.4273536837121517,-1.4273536837121517
1999-03-22,-0.17548268143076085,0.11084444141588234,0.2863271228466432,-0.2863271228466432
1999-03-23,-2.688490815888156,0.059004899613955705,2.7474957155021116,-2.7474957155021116
1999-03-24,0.5110329221279075,0.06722359093239119,0.44380933119551635,-0.44380933119551635
1999-03-25,1.686914178225507,0.09614663713405398,1.590767541091453,-1.590767541091453
1999-03-26,-0.557364092414403,0.08468153661566,0.642045629030063,-0.642045629030063
1999-03-29,2.1336134981703614,0.12000794974591347,2.0136055484244477,-2.0136055484244477
1999-03-30,-0.7189939995300265,0.10578757772428737,0.8247815772543139,-0.8247815772543139
1999-03-31,-1.1055164328272138,0.08559917754842902,1.1911156103756428,-1.1911156103756428
1999-04-01,0.5713734017871008,0.09356268942119414,0.47781071236590666,-0.47781071236590666
1999-04-05,2.1179254099958467,0.12621370104336596,1.9917117089524807,-1.9917117089524807
1999-04-06,-0.24448801109849816,0.12032954688238397,0.3648175579808821,-0.3648175579808821
